Iteración,Episodios Entrenamiento,Alpha,Gamma,Epsilon,Recompensa Promedio
1,5000,0.9,0.9,1.0,-138.28
2,5000,0.9,0.9,0.9,-127.57
3,5000,0.9,0.95,0.9,-126.81
4,5000,0.8,0.95,0.9,-127.02
5,5000,0.6,0.95,0.9,-126.2
6,5000,0.6,0.95,0.7,-110.36
7,5000,0.6,0.98,0.7,-108.84
8,5000,0.5,0.98,0.7,-105.7
9,5000,0.5,0.98,0.5,-97.52
10,5000,0.5,0.98,0.3,-94.01
11,5000,0.3,0.98,0.3,-89.47
12,5000,0.3,0.98,0.1,-84.03
13,5000,0.3,0.99,0.1,-83.12
14,5000,0.2,0.99,0.1,-78.69
15,5000,0.1,0.99,0.01,-65.26
16,5000,0.1,0.995,0.01,-67.43
17,5000,0.05,0.995,0.01,-62.01
18,5000,0.05,0.999,0.001,-72.94
