Iteración,Episodios Entrenamiento,Alpha,Gamma,Epsilon,Recompensa Promedio
1,5000,0.9,0.9,1.0,-138.09
2,5000,0.9,0.9,0.9,-130.33
3,5000,0.9,0.95,0.9,-131.33
4,5000,0.8,0.95,0.9,-131.27
5,5000,0.6,0.95,0.9,-130.75
6,5000,0.6,0.95,0.7,-119.06
7,5000,0.6,0.98,0.7,-116.28
8,5000,0.5,0.98,0.7,-113.57
9,5000,0.5,0.98,0.5,-103.37
10,5000,0.5,0.98,0.3,-96.57
11,5000,0.3,0.98,0.3,-90.56
12,5000,0.3,0.98,0.1,-85.9
13,5000,0.3,0.99,0.1,-86.5
14,5000,0.2,0.99,0.1,-82.71
15,5000,0.1,0.99,0.01,-75.67
16,5000,0.1,0.995,0.01,-81.54
17,5000,0.05,0.995,0.01,-76.43
18,5000,0.05,0.999,0.001,-87.15
